published,course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,subject,published,year,quarter,month,profit,content_duration_cat,price_cat
2017-01-18,1070968,Ultimate Investment Banking Course,https://www.udemy.com/ultimate-investment-banking-course/,True,200,2147,23,51,All Levels,1.5,Business Finance,2017-01-18,2017,1,January,429400,1 : 3,170:200
2016-12-19,1006314,Financial Modeling for Business Analysts and Consultants,https://www.udemy.com/financial-modeling-for-business-analysts-and-consultants/,True,45,2174,74,51,Intermediate Level,2.5,Business Finance,2016-12-19,2016,4,December,97830,1 : 3,20:50
2017-05-30,1210588,Beginner to Pro - Financial Analysis in Excel 2017,https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/,True,95,2451,11,36,All Levels,3.0,Business Finance,2017-05-30,2017,2,May,232845,1 : 3,80:110
2016-12-13,1011058,How To Maximize Your Profits Trading Options,https://www.udemy.com/how-to-maximize-your-profits-trading-options/,True,200,1276,45,26,Intermediate Level,2.0,Business Finance,2016-12-13,2016,4,December,255200,1 : 3,170:200
2015-05-28,476268,Options Trading 3 : Advanced Stock Profit and Success Method,https://www.udemy.com/day-trading-stock-options-3/,True,195,5172,34,38,Expert Level,2.5,Business Finance,2015-05-28,2015,2,May,1008540,1 : 3,170:200
2017-04-18,1167710,The Only Investment Strategy You Need For Your Retirement,https://www.udemy.com/the-only-investment-strategy-you-need-for-your-retirement/,True,200,827,14,15,All Levels,1.0,Business Finance,2017-04-18,2017,2,April,165400,0 : 1,170:200
2016-10-18,975046,Trading Options With Money Flow,https://www.udemy.com/trading-options-using-money-flow/,True,200,1380,42,17,All Levels,1.0,Business Finance,2016-10-18,2016,4,October,276000,0 : 1,170:200
2016-02-03,742602,Financial Management Risk and Return For Securities,https://www.udemy.com/risk-and-return-finance/,True,30,3607,21,19,All Levels,1.5,Business Finance,2016-02-03,2016,1,February,108210,1 : 3,20:50
2016-03-16,794151,Forex Trading Course: Work Smarter Not Harder Proven Results,https://www.udemy.com/the-complete-trading-course/,True,195,4061,52,16,All Levels,2.0,Business Finance,2016-03-16,2016,1,March,791895,1 : 3,170:200
2017-04-28,1196544,Python Algo Trading: Sentiment Trading with News,https://www.udemy.com/hedge-fund-strategy-trading-with-sentiment-analysis/,True,200,294,19,42,All Levels,7.0,Business Finance,2017-04-28,2017,2,April,58800,3 : 7,170:200
2016-01-08,719698,Basic Technical Analysis: Learn the structure of the market,https://www.udemy.com/learn-basic-technical-analysis/,True,20,4919,79,16,Beginner Level,1.5,Business Finance,2016-01-08,2016,1,January,98380,1 : 3,1:20
2015-09-21,606928,7 Deadly Mistakes of Investing that Will Slash Your Profits!,https://www.udemy.com/7-deadly-mistakes-of-investing/,True,50,5354,24,23,All Levels,1.5,Business Finance,2015-09-21,2015,3,September,267700,1 : 3,20:50
2017-06-06,1242604,Winning Forex Trading with Live Forex Trading Examples,https://www.udemy.com/forexmacross/,True,200,809,3,25,All Levels,2.0,Business Finance,2017-06-06,2017,2,June,161800,1 : 3,170:200
2016-05-02,798740,Forex Traders - Create Your First Trading Robot. No Coding!,https://www.udemy.com/launch-your-amazing-forex-robot-in-30-minutes-no-coding/,True,200,2295,84,39,All Levels,4.0,Business Finance,2016-05-02,2016,2,May,459000,3 : 7,170:200
2016-12-05,1020760,Introduction to Accounting : Mastering Financial Statements,https://www.udemy.com/introduction-to-accounting-mastering-financial-statements/,True,50,1916,38,23,Beginner Level,1.0,Business Finance,2016-12-05,2016,4,December,95800,0 : 1,20:50
2017-06-27,1266306,Forex Trading: Your Complete Guide to Get Started Like a Pro,https://www.udemy.com/forex-trading-your-complete-guide-to-get-started-like-a-pro/,True,140,1026,25,37,Beginner Level,3.0,Business Finance,2017-06-27,2017,2,June,143640,1 : 3,110:140
2017-05-28,1170894,Python Algo Stock Trading: Automate Your Trading!,https://www.udemy.com/algorithmic-stock-trading-bootcamp-automate-your-trading/,True,95,1165,21,41,Beginner Level,2.5,Business Finance,2017-05-28,2017,2,May,110675,1 : 3,80:110
2017-06-01,1217778,Mastering High Probability Iron Condor Options Trading,https://www.udemy.com/mastering-high-probability-iron-condor-options-trading/,True,200,1030,11,22,All Levels,2.0,Business Finance,2017-06-01,2017,2,June,206000,1 : 3,170:200
2017-06-11,1246208,The Complete Short Course on Ethereum,https://www.udemy.com/ethereum1/,True,200,1041,12,28,All Levels,1.5,Business Finance,2017-06-11,2017,2,June,208200,1 : 3,170:200
2017-06-21,1247394,Cryptocurrency Trading: Complete Guide To Trading Altcoins,https://www.udemy.com/cryptocurrency-trading/,True,95,367,42,35,All Levels,5.0,Business Finance,2017-06-21,2017,2,June,34865,3 : 7,80:110
2017-05-24,1214702,Three Steps Trading - Live Trading - Real Account,https://www.udemy.com/three-steps-trading-live-trading-real-account/,True,190,1197,11,46,All Levels,5.0,Business Finance,2017-05-24,2017,2,May,227430,3 : 7,170:200
2016-08-10,848664,Option Trading for Rookies:  Understand Options Completely,https://www.udemy.com/complete-course-introduction-to-option-trading/,True,150,2893,65,62,All Levels,2.0,Business Finance,2016-08-10,2016,3,August,433950,1 : 3,140:170
2017-05-02,1142570,How I Learned Stock Trading (and How You Can Too),https://www.udemy.com/best-stock-traders/,True,200,1580,12,53,Expert Level,2.0,Business Finance,2017-05-02,2017,2,May,316000,1 : 3,170:200
2017-04-02,1151092,Options Trading - Calendar Spread Course for Every Trader,https://www.udemy.com/options-trading-calendar-spread-course-for-every-trader/,True,200,1113,11,17,All Levels,1.5,Business Finance,2017-04-02,2017,2,April,222600,1 : 3,170:200
2017-04-11,1171994,A Beginner's Guide to Quantopian Futures API,https://www.udemy.com/quantopian-futures/,True,20,936,6,11,Intermediate Level,1.5,Business Finance,2017-04-11,2017,2,April,18720,1 : 3,1:20
2017-06-02,1239068,How to Buy Cheap Options - Options Trading Pricing Model,https://www.udemy.com/options-black-scholes-model/,True,200,658,2,19,All Levels,1.0,Business Finance,2017-06-02,2017,2,June,131600,0 : 1,170:200
2017-03-03,1122792,The Almost Perfect Options Trading Strategy System - Unique,https://www.udemy.com/the-almost-perfect-options-trading-strategy-system-unique/,True,200,1793,18,15,All Levels,1.0,Business Finance,2017-03-03,2017,1,March,358600,0 : 1,170:200
